language,languageLabel,field,fieldLabel
http://www.wikidata.org/entity/Q2005,JavaScript,http://www.wikidata.org/entity/Q80006,Programmierung
http://www.wikidata.org/entity/Q2005,JavaScript,http://www.wikidata.org/entity/Q386275,Webentwicklung
http://www.wikidata.org/entity/Q2407,C++,http://www.wikidata.org/entity/Q1936256,Systemprogrammierung
http://www.wikidata.org/entity/Q5301,TeX,http://www.wikidata.org/entity/Q837721,Satz
http://www.wikidata.org/entity/Q42478,Perl,http://www.wikidata.org/entity/Q80006,Programmierung
http://www.wikidata.org/entity/Q42478,Perl,http://www.wikidata.org/entity/Q386275,Webentwicklung
http://www.wikidata.org/entity/Q42478,Perl,http://www.wikidata.org/entity/Q123819227,creating
http://www.wikidata.org/entity/Q47607,SQL,http://www.wikidata.org/entity/Q3932296,relationales Datenbankmanagementsystem
http://www.wikidata.org/entity/Q81294,Mathematica,http://www.wikidata.org/entity/Q336,Wissenschaft
http://www.wikidata.org/entity/Q83303,Fortran,http://www.wikidata.org/entity/Q80006,Programmierung
http://www.wikidata.org/entity/Q83303,Fortran,http://www.wikidata.org/entity/Q217602,Analyse
http://www.wikidata.org/entity/Q83303,Fortran,http://www.wikidata.org/entity/Q123819227,creating
http://www.wikidata.org/entity/Q131140,COBOL,http://www.wikidata.org/entity/Q80006,Programmierung
http://www.wikidata.org/entity/Q131140,COBOL,http://www.wikidata.org/entity/Q123819227,creating
http://www.wikidata.org/entity/Q139380,Maple,http://www.wikidata.org/entity/Q336,Wissenschaft
http://www.wikidata.org/entity/Q165372,CLIPS,http://www.wikidata.org/entity/Q11660,künstliche Intelligenz
http://www.wikidata.org/entity/Q169478,MATLAB,http://www.wikidata.org/entity/Q11216,numerische Mathematik
http://www.wikidata.org/entity/Q169478,MATLAB,http://www.wikidata.org/entity/Q217602,Analyse
http://www.wikidata.org/entity/Q169478,MATLAB,http://www.wikidata.org/entity/Q6504956,Datenvisualiserung
http://www.wikidata.org/entity/Q178817,ASP.NET,http://www.wikidata.org/entity/Q386275,Webentwicklung
http://www.wikidata.org/entity/Q178817,ASP.NET,http://www.wikidata.org/entity/Q1330336,Webframework
